201,3
207,2
204,2
219,2
195,2
180,2
147,1
55,1
0,0
113,0
354,1
332,1
48,1
55,2
114,2
174,2
291,1
3,1
343,2
168,2
354,2
143,0
10,2
28,1
31,2
68,2
40,2
347,2
344,2
358,3
18,3
359,3
9,3
11,3
10,4
14,2
10,3
18,4
31,3
356,2
359,4
0,3
14,3
359,2
21,3
359,3
18,3
10,3
24,4
18,3
13,3
11,4
24,4
30,3
28,3
7,3
11,3
17,3
60,3
46,3
41,3
36,3
49,3
57,2
57,2
47,3
60,3
58,3
27,2
18,3
23,2
43,3
0,0
61,1
0,0
0,0
66,0
245,1
266,0
327,1
326,0
325,1
38,1
35,2
41,1
145,2
152,1
158,2
200,2
207,1
195,0
0,0
156,1
86,1
37,0
163,1
139,1
182,1
160,1
133,1
99,1
87,1
122,1
91,1
131,2
148,2
170,2
214,2
205,2
151,2
245,1
258,1
305,2
243,1
0,0
222,0
0,0
157,1
0,0
153,1
0,0
135,1
207,1
212,2
235,1
252,1
211,1
242,2
239,2
216,1
167,1
221,2
230,2
221,1
187,1
191,2
176,1
172,2
180,1
167,1
198,1
70,0
82,0
90,1
0,0
37,1
71,1
76,1
71,1
0,0
118,0
0,0
242,1
296,1
352,1
261,1
337,2
344,2
324,2
337,2
322,2
3,2
49,1
82,1
81,1
73,2
88,1
84,2
86,1
97,1
76,1
299,1
57,1
47,1
273,1
120,0
288,0
298,2
277,2
354,1
5,1
338,1
92,1
14,1
99,2
124,2
155,2
,
207,1
135,0
122,0
0,0
240,0
0,0
145,0
0,0
23,0
87,1
121,1
111,1
50,0
130,1
186,2
208,2
181,2
151,2
339,1
10,2
70,2
99,1
159,1
2,0
0,0
44,0
59,0
332,1
18,0
267,1
345,1
311,0
342,0
34,0
3,0
323,1
34,0
28,1
27,2
55,2
299,1
177,1
95,1
345,2
156,2
224,1
227,1
241,1
241,1
252,1
272,0
275,1
235,1
130,1
0,0
245,2
236,1
128,0
147,1
164,1
192,1
239,1
217,2
232,2
185,2
215,2
218,2
214,3
207,2
188,2
183,2
164,2
151,1
112,0
134,1
112,1
77,1
0,0
66,1
0,0
297,0
0,0
0,0
263,1
317,2
286,1
324,1
305,2
30,1
201,1
217,1
233,1
244,2
121,1
50,2
39,2
48,1
28,1
315,1
339,1
337,1
348,1
17,2
32,2
75,1
52,2
68,1
102,1
77,1
133,2
137,2
165,1
82,1
19,1
65,1
58,1
186,1
0,0
188,1
0,0
107,2
106,1
115,1
140,1
